deal_ref,client_ref,event_time,item_code,item_label,grouping,qty,price,amount,value,territory,source,owner,status
D-300517,CL-3269,2023-05-23,SKU-102,Analytics Suite,Software,24,1576,37824,37830,EU,Web,Agent_9,Closed
D-300518,CL-3685,2023-12-17,SKU-101,CRM Pro,Software,21,1703,35763,35798,NA,Web,Agent_4,Closed
D-300519,CL-3601,2024-06-28,SKU-201,POS Terminal,Hardware,11,1735,19085,19040,APAC,Partner,Agent_6,Closed
D-300520,CL-4350,2024-05-29,SKU-102,Analytics Suite,Software,5,575,2875,2840,NA,Partner,Agent_11,Lost
D-300521,CL-5191,2023-12-03,SKU-201,POS Terminal,Hardware,23,1497,34431,34405,NA,Partner,Agent_7,Lost
D-300522,CL-2152,2024-11-19,SKU-101,CRM Pro,Software,10,1258,12580,12531,APAC,Web,Agent_9,Won
D-300523,CL-2816,2024-08-03,SKU-101,CRM Pro,Software,15,1303,19545,19503,NA,Partner,Agent_1,Won
D-300524,CL-7506,2023-02-17,SKU-102,Analytics Suite,Software,1,1372,1372,1329,NA,Web,Agent_9,Closed
D-300525,CL-4042,2024-02-20,SKU-101,CRM Pro,Software,14,553,7742,7762,APAC,Partner,Agent_4,Closed
D-300526,CL-6447,2024-03-17,SKU-201,POS Terminal,Hardware,9,1048,9432,9443,NA,Web,Agent_9,Won
D-300527,CL-2591,2024-10-01,SKU-201,POS Terminal,Hardware,18,535,9630,9621,EU,Partner,Agent_10,Won
D-300528,CL-5721,2024-10-28,SKU-201,POS Terminal,Hardware,17,1654,28118,28142,NA,Partner,Agent_2,Lost
D-300529,CL-2077,2024-09-05,SKU-102,Analytics Suite,Software,6,1678,10068,10032,EU,Web,Agent_9,Lost
D-300530,CL-5342,2023-02-10,SKU-102,Analytics Suite,Software,10,361,3610,3603,NA,Web,Agent_2,Closed
D-300531,CL-2459,2024-04-14,SKU-102,Analytics Suite,Software,21,1647,34587,34584,APAC,Partner,Agent_10,Won
D-300532,CL-4264,2023-07-03,SKU-102,Analytics Suite,Software,15,1455,21825,21817,NA,Partner,Agent_10,Closed
D-300533,CL-5042,2024-07-04,SKU-102,Analytics Suite,Software,5,512,2560,2592,APAC,ColdCall,Agent_9,Lost
D-300534,CL-3760,2023-02-23,SKU-201,POS Terminal,Hardware,5,679,3395,3438,NA,ColdCall,Agent_8,Closed
D-300535,CL-6859,2024-12-28,SKU-101,CRM Pro,Software,25,1181,29525,29571,EU,ColdCall,Agent_10,Won
D-300536,CL-5846,2024-11-02,SKU-101,CRM Pro,Software,19,1075,20425,20421,APAC,ColdCall,Agent_3,Closed
D-300537,CL-5554,2023-03-11,SKU-201,POS Terminal,Hardware,16,1653,26448,26446,EU,ColdCall,Agent_4,Won
D-300538,CL-7337,2023-12-03,SKU-102,Analytics Suite,Software,8,1753,14024,13996,NA,Web,Agent_8,Lost
D-300539,CL-2330,2023-01-05,SKU-101,CRM Pro,Software,11,1608,17688,17688,APAC,Partner,Agent_4,Closed
D-300540,CL-5170,2023-02-27,SKU-201,POS Terminal,Hardware,3,937,2811,2838,NA,ColdCall,Agent_1,Lost
D-300541,CL-6436,2023-10-02,SKU-201,POS Terminal,Hardware,2,1783,3566,3522,NA,Web,Agent_7,Won
D-300542,CL-5768,2024-01-06,SKU-102,Analytics Suite,Software,6,1178,7068,7115,EU,ColdCall,Agent_2,Won
D-300543,CL-5446,2024-04-18,SKU-101,CRM Pro,Software,14,1639,22946,22950,NA,Web,Agent_8,Won
D-300544,CL-4276,2024-05-25,SKU-102,Analytics Suite,Software,18,799,14382,14420,EU,Partner,Agent_11,Closed
D-300545,CL-5316,2024-12-26,SKU-101,CRM Pro,Software,9,1031,9279,9281,APAC,ColdCall,Agent_2,Won
D-300546,CL-4001,2024-02-14,SKU-201,POS Terminal,Hardware,18,1285,23130,23125,NA,Web,Agent_8,Won
D-300547,CL-7503,2024-06-21,SKU-101,CRM Pro,Software,1,639,639,596,NA,Web,Agent_5,Closed
D-300548,CL-5142,2024-12-29,SKU-201,POS Terminal,Hardware,22,1108,24376,24392,NA,Partner,Agent_9,Won
D-300549,CL-2542,2024-08-02,SKU-102,Analytics Suite,Software,22,495,10890,10843,NA,Web,Agent_10,Lost
D-300550,CL-5062,2024-06-11,SKU-101,CRM Pro,Software,8,1132,9056,9085,NA,Web,Agent_9,Won
D-300551,CL-3098,2023-02-10,SKU-201,POS Terminal,Hardware,2,1158,2316,2333,APAC,ColdCall,Agent_2,Lost
D-300552,CL-6856,2023-01-30,SKU-102,Analytics Suite,Software,24,1490,35760,35752,EU,Partner,Agent_9,Closed
D-300553,CL-5663,2023-10-03,SKU-201,POS Terminal,Hardware,11,926,10186,10148,APAC,Partner,Agent_10,Won
D-300554,CL-4608,2023-11-03,SKU-201,POS Terminal,Hardware,25,1723,43075,43041,EU,Web,Agent_10,Won
D-300555,CL-6251,2024-11-02,SKU-201,POS Terminal,Hardware,14,1722,24108,24074,EU,Web,Agent_8,Closed
D-300556,CL-5895,2023-04-30,SKU-101,CRM Pro,Software,20,1425,28500,28545,EU,ColdCall,Agent_4,Closed
D-300557,CL-4705,2023-12-03,SKU-101,CRM Pro,Software,16,1103,17648,17670,EU,ColdCall,Agent_6,Closed
D-300558,CL-5649,2023-01-21,SKU-102,Analytics Suite,Software,13,1160,15080,15078,EU,Web,Agent_6,Lost
D-300559,CL-7558,2024-01-02,SKU-101,CRM Pro,Software,5,1350,6750,6750,EU,ColdCall,Agent_10,Closed
D-300560,CL-2589,2023-10-29,SKU-201,POS Terminal,Hardware,6,283,1698,1681,APAC,Partner,Agent_5,Lost
D-300561,CL-3540,2023-02-23,SKU-101,CRM Pro,Software,25,1728,43200,43236,APAC,ColdCall,Agent_5,Won
D-300562,CL-4311,2024-05-07,SKU-102,Analytics Suite,Software,15,206,3090,3134,APAC,Web,Agent_2,Closed
D-300563,CL-7668,2023-04-13,SKU-101,CRM Pro,Software,17,1667,28339,28389,APAC,ColdCall,Agent_10,Lost
D-300564,CL-7803,2023-12-24,SKU-101,CRM Pro,Software,1,248,248,198,NA,Partner,Agent_1,Closed
D-300565,CL-4906,2024-07-27,SKU-102,Analytics Suite,Software,5,1444,7220,7232,NA,Partner,Agent_2,Won
D-300566,CL-3289,2024-02-23,SKU-101,CRM Pro,Software,15,553,8295,8310,NA,Web,Agent_1,Lost
D-300567,CL-2170,2023-05-07,SKU-102,Analytics Suite,Software,22,1526,33572,33532,APAC,Partner,Agent_1,Lost
D-300568,CL-3062,2023-01-13,SKU-201,POS Terminal,Hardware,1,706,706,698,APAC,Partner,Agent_6,Lost
D-300569,CL-5719,2023-01-02,SKU-201,POS Terminal,Hardware,12,798,9576,9538,NA,Web,Agent_7,Closed
D-300570,CL-3998,2023-05-24,SKU-102,Analytics Suite,Software,15,1164,17460,17413,APAC,Partner,Agent_1,Closed
D-300571,CL-3561,2024-11-13,SKU-101,CRM Pro,Software,25,542,13550,13555,EU,Partner,Agent_8,Lost
D-300572,CL-7245,2024-10-03,SKU-101,CRM Pro,Software,8,1753,14024,14002,NA,Web,Agent_5,Lost
D-300573,CL-7090,2024-09-22,SKU-201,POS Terminal,Hardware,7,544,3808,3766,EU,Partner,Agent_7,Won
D-300574,CL-6292,2023-11-01,SKU-201,POS Terminal,Hardware,12,1790,21480,21437,APAC,Partner,Agent_10,Won
D-300575,CL-5379,2023-02-22,SKU-201,POS Terminal,Hardware,8,1234,9872,9876,EU,Web,Agent_1,Closed
D-300576,CL-4257,2024-09-23,SKU-101,CRM Pro,Software,25,1451,36275,36227,NA,ColdCall,Agent_4,Lost
D-300577,CL-4834,2024-11-10,SKU-101,CRM Pro,Software,10,150,1500,1537,NA,Partner,Agent_11,Closed
D-300578,CL-7133,2023-04-12,SKU-101,CRM Pro,Software,24,278,6672,6646,NA,Web,Agent_10,Lost
D-300579,CL-7556,2023-10-09,SKU-101,CRM Pro,Software,2,1056,2112,2153,NA,ColdCall,Agent_7,Closed
D-300580,CL-7211,2024-03-02,SKU-201,POS Terminal,Hardware,10,1354,13540,13505,NA,ColdCall,Agent_5,Closed
D-300581,CL-7555,2023-10-05,SKU-102,Analytics Suite,Software,25,252,6300,6254,APAC,Web,Agent_5,Won
D-300582,CL-6440,2023-02-10,SKU-101,CRM Pro,Software,12,1630,19560,19569,NA,ColdCall,Agent_1,Lost
D-300583,CL-2964,2023-08-02,SKU-201,POS Terminal,Hardware,3,408,1224,1261,NA,Partner,Agent_5,Lost
D-300584,CL-6434,2024-03-15,SKU-201,POS Terminal,Hardware,16,634,10144,10110,EU,ColdCall,Agent_2,Lost
D-300585,CL-5597,2023-06-15,SKU-101,CRM Pro,Software,10,1166,11660,11673,NA,Web,Agent_6,Closed
D-300586,CL-6490,2023-06-16,SKU-102,Analytics Suite,Software,25,1563,39075,39074,NA,Partner,Agent_4,Closed
D-300587,CL-6931,2023-06-07,SKU-102,Analytics Suite,Software,23,1637,37651,37676,APAC,Web,Agent_4,Lost
D-300588,CL-2764,2024-06-27,SKU-101,CRM Pro,Software,16,1451,23216,23167,EU,Web,Agent_5,Won
D-300589,CL-2571,2023-08-30,SKU-101,CRM Pro,Software,5,1477,7385,7400,APAC,ColdCall,Agent_6,Won
D-300590,CL-3557,2023-02-20,SKU-102,Analytics Suite,Software,19,374,7106,7094,APAC,Partner,Agent_7,Lost
D-300591,CL-2872,2024-06-09,SKU-201,POS Terminal,Hardware,20,1765,35300,35263,NA,Web,Agent_4,Won
D-300592,CL-2656,2024-07-26,SKU-102,Analytics Suite,Software,10,1753,17530,17513,APAC,Web,Agent_6,Closed
D-300593,CL-7908,2024-05-17,SKU-201,POS Terminal,Hardware,19,1143,21717,21740,APAC,Partner,Agent_6,Lost
D-300594,CL-7297,2023-02-16,SKU-102,Analytics Suite,Software,15,371,5565,5515,APAC,Web,Agent_3,Lost
D-300595,CL-5500,2023-07-17,SKU-201,POS Terminal,Hardware,22,1024,22528,22570,EU,ColdCall,Agent_6,Closed
D-300596,CL-3200,2024-11-07,SKU-102,Analytics Suite,Software,1,652,652,635,NA,Web,Agent_2,Won
D-300597,CL-3062,2024-09-22,SKU-101,CRM Pro,Software,23,1764,40572,40593,EU,Partner,Agent_10,Closed
D-300598,CL-2824,2024-03-16,SKU-101,CRM Pro,Software,5,876,4380,4373,APAC,Partner,Agent_2,Lost
D-300599,CL-4390,2024-05-01,SKU-101,CRM Pro,Software,22,1323,29106,29146,APAC,Partner,Agent_10,Lost
D-300600,CL-6480,2024-01-04,SKU-201,POS Terminal,Hardware,3,1430,4290,4287,EU,Web,Agent_9,Closed
D-300601,CL-5537,2023-05-19,SKU-201,POS Terminal,Hardware,9,355,3195,3188,APAC,ColdCall,Agent_3,Closed
D-300602,CL-5994,2024-10-11,SKU-201,POS Terminal,Hardware,15,1452,21780,21741,APAC,Web,Agent_10,Closed
D-300603,CL-6411,2023-08-05,SKU-102,Analytics Suite,Software,3,851,2553,2515,EU,ColdCall,Agent_7,Won
D-300604,CL-4797,2023-09-25,SKU-101,CRM Pro,Software,25,911,22775,22808,EU,Partner,Agent_10,Won
D-300605,CL-7522,2023-03-17,SKU-101,CRM Pro,Software,11,914,10054,10080,EU,ColdCall,Agent_3,Won
D-300606,CL-5813,2024-10-05,SKU-102,Analytics Suite,Software,10,382,3820,3780,EU,Partner,Agent_1,Lost
D-300607,CL-3221,2023-04-14,SKU-101,CRM Pro,Software,11,270,2970,2954,EU,ColdCall,Agent_6,Lost
D-300608,CL-6602,2023-05-04,SKU-102,Analytics Suite,Software,3,1788,5364,5326,NA,ColdCall,Agent_7,Closed
D-300609,CL-6517,2023-10-24,SKU-201,POS Terminal,Hardware,25,402,10050,10023,EU,Partner,Agent_6,Lost
D-300610,CL-7028,2023-01-30,SKU-101,CRM Pro,Software,6,188,1128,1144,APAC,Web,Agent_8,Won
D-300611,CL-3575,2024-08-08,SKU-102,Analytics Suite,Software,22,137,3014,2979,APAC,ColdCall,Agent_1,Closed
D-300612,CL-5324,2024-10-18,SKU-101,CRM Pro,Software,24,178,4272,4278,EU,ColdCall,Agent_6,Won
D-300613,CL-4857,2023-03-06,SKU-102,Analytics Suite,Software,21,1270,26670,26672,EU,Partner,Agent_5,Won
D-300614,CL-3802,2023-07-05,SKU-102,Analytics Suite,Software,2,1306,2612,2630,NA,Partner,Agent_1,Won
D-300615,CL-4980,2023-12-14,SKU-201,POS Terminal,Hardware,17,862,14654,14654,EU,Partner,Agent_10,Lost
D-300616,CL-2351,2023-01-27,SKU-201,POS Terminal,Hardware,16,509,8144,8177,EU,Partner,Agent_10,Lost
D-300617,CL-7038,2023-09-29,SKU-101,CRM Pro,Software,6,1265,7590,7565,EU,Partner,Agent_2,Lost
D-300618,CL-6711,2024-10-25,SKU-201,POS Terminal,Hardware,9,1125,10125,10106,NA,ColdCall,Agent_2,Lost
D-300619,CL-7453,2024-08-18,SKU-102,Analytics Suite,Software,18,1722,30996,31035,NA,Web,Agent_2,Closed
D-300620,CL-3926,2023-08-10,SKU-101,CRM Pro,Software,11,978,10758,10713,EU,Web,Agent_10,Lost
D-300621,CL-6245,2023-10-25,SKU-201,POS Terminal,Hardware,21,423,8883,8844,NA,Partner,Agent_1,Lost
D-300622,CL-7981,2024-06-01,SKU-101,CRM Pro,Software,1,1394,1394,1346,APAC,Web,Agent_3,Closed
D-300623,CL-2318,2024-01-03,SKU-101,CRM Pro,Software,5,372,1860,1858,EU,Web,Agent_11,Lost
D-300624,CL-5007,2023-11-16,SKU-102,Analytics Suite,Software,20,1141,22820,22796,EU,Partner,Agent_1,Lost
D-300625,CL-7540,2023-01-16,SKU-101,CRM Pro,Software,22,279,6138,6173,APAC,Partner,Agent_6,Closed
D-300626,CL-4652,2023-07-09,SKU-101,CRM Pro,Software,19,159,3021,2986,EU,Partner,Agent_3,Lost
D-300627,CL-2753,2024-10-08,SKU-201,POS Terminal,Hardware,20,873,17460,17479,NA,Partner,Agent_5,Closed
D-300628,CL-2327,2023-12-24,SKU-201,POS Terminal,Hardware,18,763,13734,13741,APAC,Partner,Agent_7,Won
D-300629,CL-2588,2023-05-10,SKU-101,CRM Pro,Software,7,1029,7203,7161,APAC,Web,Agent_11,Won
D-300630,CL-2485,2023-09-01,SKU-201,POS Terminal,Hardware,12,808,9696,9653,NA,ColdCall,Agent_8,Lost
D-300631,CL-4040,2023-02-02,SKU-102,Analytics Suite,Software,17,1300,22100,22086,NA,ColdCall,Agent_2,Closed
D-300632,CL-6560,2023-06-07,SKU-102,Analytics Suite,Software,14,1344,18816,18770,EU,ColdCall,Agent_1,Lost
D-300633,CL-4814,2024-10-07,SKU-101,CRM Pro,Software,1,805,805,787,NA,ColdCall,Agent_4,Lost
D-300634,CL-6051,2024-09-03,SKU-201,POS Terminal,Hardware,21,1718,36078,36106,NA,Web,Agent_1,Lost
D-300635,CL-7969,2023-03-27,SKU-102,Analytics Suite,Software,15,1412,21180,21205,EU,ColdCall,Agent_11,Lost
D-300636,CL-6234,2024-08-05,SKU-101,CRM Pro,Software,25,1312,32800,32809,EU,Partner,Agent_9,Closed
D-300637,CL-5865,2023-09-03,SKU-101,CRM Pro,Software,6,1483,8898,8907,EU,ColdCall,Agent_10,Closed
D-300638,CL-5724,2024-07-21,SKU-102,Analytics Suite,Software,5,1345,6725,6753,EU,Web,Agent_1,Closed
D-300639,CL-4738,2023-10-14,SKU-102,Analytics Suite,Software,24,1579,37896,37912,NA,Web,Agent_10,Lost
D-300640,CL-2232,2023-05-13,SKU-201,POS Terminal,Hardware,8,1463,11704,11667,APAC,Partner,Agent_8,Won
D-300641,CL-5895,2024-01-29,SKU-102,Analytics Suite,Software,13,635,8255,8294,EU,Web,Agent_4,Won
D-300642,CL-2905,2024-10-15,SKU-201,POS Terminal,Hardware,24,723,17352,17304,EU,Web,Agent_6,Closed
D-300643,CL-3113,2024-06-25,SKU-201,POS Terminal,Hardware,23,436,10028,10036,EU,Web,Agent_10,Lost
D-300644,CL-3535,2023-09-24,SKU-201,POS Terminal,Hardware,18,764,13752,13743,APAC,Web,Agent_5,Closed
D-300645,CL-3667,2023-07-16,SKU-102,Analytics Suite,Software,18,216,3888,3899,NA,ColdCall,Agent_6,Won
D-300646,CL-5596,2023-08-31,SKU-201,POS Terminal,Hardware,11,354,3894,3904,NA,Web,Agent_7,Lost
D-300647,CL-7518,2024-06-30,SKU-201,POS Terminal,Hardware,21,485,10185,10226,EU,Web,Agent_11,Won
D-300648,CL-3706,2024-12-07,SKU-201,POS Terminal,Hardware,8,919,7352,7306,EU,Web,Agent_6,Won
D-300649,CL-4176,2024-08-31,SKU-201,POS Terminal,Hardware,23,1346,30958,30910,APAC,Partner,Agent_2,Closed
D-300650,CL-4331,2023-05-13,SKU-101,CRM Pro,Software,12,1373,16476,16458,APAC,Partner,Agent_5,Closed
D-300651,CL-3810,2023-09-08,SKU-201,POS Terminal,Hardware,5,1799,8995,8950,APAC,Web,Agent_2,Won
D-300652,CL-2444,2024-06-22,SKU-101,CRM Pro,Software,25,1569,39225,39241,EU,ColdCall,Agent_5,Closed
D-300653,CL-4635,2023-02-21,SKU-102,Analytics Suite,Software,4,1741,6964,6916,NA,Web,Agent_9,Lost
D-300654,CL-2228,2024-10-21,SKU-201,POS Terminal,Hardware,17,437,7429,7382,NA,Partner,Agent_11,Won
D-300655,CL-7208,2024-03-07,SKU-201,POS Terminal,Hardware,23,886,20378,20333,NA,Partner,Agent_10,Won
D-300656,CL-3927,2024-12-16,SKU-201,POS Terminal,Hardware,2,214,428,440,NA,Partner,Agent_8,Won
D-300657,CL-7835,2024-07-03,SKU-102,Analytics Suite,Software,21,729,15309,15264,EU,ColdCall,Agent_8,Closed
D-300658,CL-2158,2024-02-14,SKU-101,CRM Pro,Software,9,1005,9045,9006,APAC,Partner,Agent_5,Lost
D-300659,CL-5554,2024-10-21,SKU-101,CRM Pro,Software,18,1520,27360,27389,EU,Partner,Agent_11,Lost
D-300660,CL-4029,2024-11-24,SKU-102,Analytics Suite,Software,10,1412,14120,14092,APAC,Partner,Agent_11,Closed
D-300661,CL-3110,2024-12-21,SKU-201,POS Terminal,Hardware,20,253,5060,5092,NA,ColdCall,Agent_1,Closed
D-300662,CL-4421,2023-08-20,SKU-201,POS Terminal,Hardware,20,480,9600,9555,NA,ColdCall,Agent_7,Lost
D-300663,CL-4704,2024-03-09,SKU-102,Analytics Suite,Software,14,1593,22302,22287,EU,Web,Agent_9,Lost
D-300664,CL-6591,2023-06-18,SKU-102,Analytics Suite,Software,2,1138,2276,2322,APAC,Partner,Agent_2,Won
D-300665,CL-5887,2024-11-28,SKU-102,Analytics Suite,Software,11,485,5335,5381,APAC,Partner,Agent_7,Closed
D-300666,CL-7495,2023-09-25,SKU-102,Analytics Suite,Software,3,1246,3738,3787,NA,Web,Agent_6,Won
D-300667,CL-6313,2024-09-11,SKU-102,Analytics Suite,Software,7,632,4424,4451,EU,Partner,Agent_3,Lost
D-300668,CL-2029,2023-12-22,SKU-101,CRM Pro,Software,8,543,4344,4294,EU,ColdCall,Agent_11,Won
D-300669,CL-3331,2024-10-31,SKU-102,Analytics Suite,Software,22,364,8008,8003,NA,ColdCall,Agent_7,Lost
D-300670,CL-3525,2023-06-20,SKU-101,CRM Pro,Software,5,1316,6580,6578,APAC,Web,Agent_11,Won
D-300671,CL-4361,2024-12-10,SKU-201,POS Terminal,Hardware,15,568,8520,8523,EU,Partner,Agent_6,Won
D-300672,CL-2667,2024-08-28,SKU-102,Analytics Suite,Software,13,1495,19435,19446,EU,Web,Agent_3,Closed
D-300673,CL-4281,2024-06-30,SKU-101,CRM Pro,Software,5,469,2345,2331,NA,Partner,Agent_10,Won
D-300674,CL-5389,2024-08-18,SKU-102,Analytics Suite,Software,8,719,5752,5795,EU,Partner,Agent_2,Lost
D-300675,CL-7434,2024-04-22,SKU-201,POS Terminal,Hardware,4,771,3084,3134,NA,ColdCall,Agent_1,Won
D-300676,CL-4587,2024-12-02,SKU-102,Analytics Suite,Software,20,682,13640,13655,EU,Partner,Agent_7,Lost
D-300677,CL-2042,2024-04-13,SKU-201,POS Terminal,Hardware,16,1612,25792,25776,APAC,ColdCall,Agent_8,Closed
D-300678,CL-6584,2024-11-01,SKU-201,POS Terminal,Hardware,15,1155,17325,17369,EU,Partner,Agent_6,Lost
D-300679,CL-6639,2024-12-16,SKU-201,POS Terminal,Hardware,3,932,2796,2841,APAC,Web,Agent_7,Closed
D-300680,CL-4274,2023-10-05,SKU-101,CRM Pro,Software,21,624,13104,13133,NA,ColdCall,Agent_9,Lost
D-300681,CL-7399,2024-12-31,SKU-101,CRM Pro,Software,14,1013,14182,14199,EU,Web,Agent_2,Won
D-300682,CL-3606,2023-03-09,SKU-102,Analytics Suite,Software,11,713,7843,7855,APAC,Web,Agent_9,Closed
D-300683,CL-5024,2023-03-18,SKU-101,CRM Pro,Software,14,802,11228,11266,APAC,Partner,Agent_10,Lost
D-300684,CL-6544,2023-06-26,SKU-201,POS Terminal,Hardware,25,1772,44300,44314,NA,Web,Agent_10,Lost
D-300685,CL-2726,2023-07-04,SKU-102,Analytics Suite,Software,8,873,6984,6948,EU,Partner,Agent_8,Won
D-300686,CL-7007,2023-02-05,SKU-101,CRM Pro,Software,21,389,8169,8203,APAC,Web,Agent_11,Lost
D-300687,CL-2853,2024-06-06,SKU-201,POS Terminal,Hardware,17,334,5678,5692,NA,Partner,Agent_8,Closed
D-300688,CL-2724,2024-04-29,SKU-101,CRM Pro,Software,19,914,17366,17378,APAC,Web,Agent_1,Won
D-300689,CL-2513,2023-01-03,SKU-201,POS Terminal,Hardware,25,1699,42475,42517,EU,Web,Agent_11,Closed
D-300690,CL-2419,2023-04-09,SKU-102,Analytics Suite,Software,5,548,2740,2712,EU,Web,Agent_6,Lost
D-300691,CL-2124,2023-09-13,SKU-102,Analytics Suite,Software,23,1240,28520,28551,APAC,ColdCall,Agent_11,Won
D-300692,CL-2806,2024-06-05,SKU-101,CRM Pro,Software,20,1556,31120,31089,APAC,Web,Agent_4,Lost
D-300693,CL-3612,2024-09-30,SKU-102,Analytics Suite,Software,17,1418,24106,24134,NA,Web,Agent_5,Lost
D-300694,CL-7134,2023-10-09,SKU-201,POS Terminal,Hardware,11,923,10153,10123,NA,Web,Agent_9,Lost
D-300695,CL-5052,2023-02-08,SKU-201,POS Terminal,Hardware,1,1110,1110,1113,EU,Partner,Agent_9,Closed
D-300696,CL-6988,2023-10-11,SKU-101,CRM Pro,Software,19,1137,21603,21607,NA,Partner,Agent_1,Lost
D-300697,CL-6424,2023-10-23,SKU-101,CRM Pro,Software,19,872,16568,16575,APAC,ColdCall,Agent_7,Closed
D-300698,CL-7160,2024-01-28,SKU-101,CRM Pro,Software,4,319,1276,1294,APAC,ColdCall,Agent_6,Won
D-300699,CL-4056,2023-07-02,SKU-102,Analytics Suite,Software,5,1404,7020,7044,APAC,Web,Agent_5,Won
D-300700,CL-7276,2024-01-30,SKU-102,Analytics Suite,Software,8,1007,8056,8099,EU,Web,Agent_2,Won
D-300701,CL-6631,2023-04-22,SKU-201,POS Terminal,Hardware,3,134,402,416,NA,Web,Agent_8,Lost
D-300702,CL-7686,2023-06-20,SKU-101,CRM Pro,Software,17,1038,17646,17665,EU,Web,Agent_3,Won
D-300703,CL-5042,2024-02-28,SKU-201,POS Terminal,Hardware,2,398,796,793,NA,Web,Agent_5,Won
D-300704,CL-2140,2023-03-05,SKU-102,Analytics Suite,Software,19,523,9937,9897,APAC,Partner,Agent_1,Closed
D-300705,CL-4226,2024-04-26,SKU-102,Analytics Suite,Software,6,1785,10710,10732,APAC,Web,Agent_10,Lost
D-300706,CL-2353,2024-05-20,SKU-102,Analytics Suite,Software,16,1402,22432,22441,EU,Web,Agent_4,Won
D-300707,CL-6752,2024-06-17,SKU-201,POS Terminal,Hardware,3,1462,4386,4376,EU,Web,Agent_7,Won
D-300708,CL-3910,2023-02-10,SKU-201,POS Terminal,Hardware,21,597,12537,12501,APAC,Web,Agent_2,Won
D-300709,CL-2122,2024-07-06,SKU-101,CRM Pro,Software,11,1280,14080,14115,EU,ColdCall,Agent_9,Lost
D-300710,CL-4853,2023-08-10,SKU-201,POS Terminal,Hardware,6,420,2520,2522,EU,ColdCall,Agent_1,Won
D-300711,CL-6218,2023-11-24,SKU-201,POS Terminal,Hardware,1,1636,1636,1669,NA,Partner,Agent_4,Closed
D-300712,CL-5038,2023-04-06,SKU-201,POS Terminal,Hardware,15,171,2565,2543,NA,Web,Agent_1,Won
D-300713,CL-2172,2023-02-09,SKU-201,POS Terminal,Hardware,6,823,4938,4947,NA,Web,Agent_3,Lost
D-300714,CL-5226,2023-05-31,SKU-102,Analytics Suite,Software,14,1601,22414,22384,EU,Web,Agent_10,Closed
D-300715,CL-5768,2023-10-22,SKU-102,Analytics Suite,Software,14,253,3542,3518,NA,Web,Agent_5,Closed
D-300716,CL-7127,2023-09-23,SKU-201,POS Terminal,Hardware,23,352,8096,8053,NA,ColdCall,Agent_8,Won
D-300717,CL-6681,2023-11-17,SKU-101,CRM Pro,Software,7,565,3955,3964,APAC,Web,Agent_2,Lost
D-300718,CL-7869,2023-10-27,SKU-101,CRM Pro,Software,6,705,4230,4267,APAC,Web,Agent_10,Lost
D-300719,CL-4455,2023-05-18,SKU-201,POS Terminal,Hardware,11,1582,17402,17370,APAC,Partner,Agent_10,Closed
D-300720,CL-3917,2023-03-27,SKU-201,POS Terminal,Hardware,18,545,9810,9798,APAC,Partner,Agent_5,Lost
D-300721,CL-6834,2023-05-27,SKU-102,Analytics Suite,Software,23,967,22241,22241,NA,ColdCall,Agent_5,Lost
D-300722,CL-4497,2023-05-27,SKU-101,CRM Pro,Software,20,1468,29360,29331,EU,Web,Agent_8,Won
D-300723,CL-6111,2023-07-30,SKU-101,CRM Pro,Software,10,368,3680,3712,APAC,ColdCall,Agent_3,Closed
D-300724,CL-6082,2023-08-14,SKU-201,POS Terminal,Hardware,15,730,10950,10925,NA,ColdCall,Agent_6,Lost
D-300725,CL-3939,2024-09-10,SKU-201,POS Terminal,Hardware,17,140,2380,2386,APAC,Web,Agent_3,Lost
D-300726,CL-6451,2023-04-23,SKU-201,POS Terminal,Hardware,24,768,18432,18446,APAC,ColdCall,Agent_4,Closed
D-300727,CL-2628,2024-09-12,SKU-102,Analytics Suite,Software,17,251,4267,4296,EU,ColdCall,Agent_5,Lost
D-300728,CL-6201,2024-08-20,SKU-102,Analytics Suite,Software,21,1123,23583,23565,APAC,Web,Agent_1,Lost
D-300729,CL-6346,2023-11-13,SKU-201,POS Terminal,Hardware,21,351,7371,7354,APAC,ColdCall,Agent_2,Won
D-300730,CL-2251,2023-07-18,SKU-201,POS Terminal,Hardware,3,1773,5319,5319,APAC,ColdCall,Agent_7,Lost
D-300731,CL-4213,2023-10-20,SKU-102,Analytics Suite,Software,21,1395,29295,29287,EU,Partner,Agent_2,Closed
D-300732,CL-3117,2023-10-02,SKU-101,CRM Pro,Software,17,884,15028,15047,NA,Partner,Agent_6,Won
D-300733,CL-7884,2024-07-13,SKU-201,POS Terminal,Hardware,19,194,3686,3693,NA,Partner,Agent_4,Won
D-300734,CL-4426,2024-01-26,SKU-101,CRM Pro,Software,10,699,6990,7023,NA,Web,Agent_8,Won
D-300735,CL-4144,2024-08-06,SKU-101,CRM Pro,Software,23,668,15364,15405,NA,Web,Agent_1,Lost
D-300736,CL-4871,2023-11-18,SKU-201,POS Terminal,Hardware,17,1198,20366,20404,EU,Partner,Agent_11,Closed
D-300737,CL-2234,2024-04-21,SKU-102,Analytics Suite,Software,6,842,5052,5027,EU,Web,Agent_5,Lost
D-300738,CL-4554,2024-02-22,SKU-201,POS Terminal,Hardware,8,1125,9000,9047,EU,Web,Agent_2,Won
